Orthogroup	Enteroscipio	Lactococcus	equolifaciens	isoflavoniconvertens
OG0000523	BAK44562.1	QPR49598.1	RNL40983.1	WP_281669086.1
OG0000524	BAK44565.1	QPR49547.1	RNL40980.1	WP_281669088.1
OG0000525	BAK44570.1	QPR49468.1	RNL41101.1	WP_281669141.1
OG0000526	BAK44571.1	QPR49688.1	RNL39095.1	WP_281668537.1
OG0000527	BAK44572.1	QPR49689.1	RNL39034.1	WP_281668538.1
OG0000528	BAK44573.1	QPR49634.1	RNL41105.1	WP_281667908.1
OG0000529	BAK44574.1	QPR49609.1	RNL40998.1	WP_123219688.1
OG0000530	BAK44579.1	QPR49044.1	RNL39860.1	WP_114615426.1
OG0000531	BAK44580.1	QPR48485.1	RNL40664.1	WP_281668365.1
OG0000532	BAK44581.1	QPR48486.1	RNL40594.1	WP_114614975.1
OG0000533	BAK44582.1	QPR48488.1	RNL39861.1	WP_114615427.1
OG0000534	BAK44585.1	QPR49202.1	RNL40593.1	WP_281668366.1
OG0000535	BAK44588.1	QPR48819.1	RNL40590.1	WP_114614971.1
OG0000536	BAK44591.1, BAK45138.1			WP_281667851.1, WP_281668581.1
OG0000537	BAK44592.1	QPR48558.1	RNL40588.1	WP_281668363.1
OG0000538	BAK44593.1	QPR49552.1	RNL40589.1	WP_281668395.1
OG0000539	BAK44595.1	QPR49930.1	RNL40586.1	WP_281668361.1
OG0000540	BAK44596.1	QPR48781.1	RNL40585.1	WP_114614968.1
OG0000541	BAK44599.1	QPR48834.1	RNL40573.1	WP_281668044.1
OG0000542	BAK44600.1	QPR49027.1	RNL40569.1	WP_281668041.1
OG0000543	BAK44602.1	QPR49599.1	RNL39793.1	WP_281668040.1
OG0000544	BAK44604.1	QPR48610.1	RNL39795.1	WP_114614957.1
OG0000545	BAK44605.1	QPR48611.1	RNL39796.1	WP_123218761.1
OG0000546	BAK44606.1	QPR48612.1	RNL39797.1	WP_281668039.1
OG0000547	BAK44618.1	QPR48617.1	RNL41017.1	WP_281667923.1
OG0000548	BAK44619.1	QPR48126.1	RNL41016.1	WP_281667922.1
OG0000549	BAK44620.1	QPR48402.1	RNL39798.1	WP_281668038.1
OG0000550	BAK44621.1	QPR48125.1	RNL39799.1	WP_114614953.1
OG0000551	BAK44629.1	QPR48429.1	RNL40995.1	WP_114614989.1
OG0000552	BAK44630.1	QPR48430.1	RNL41104.1	WP_245910375.1
OG0000553	BAK44631.1	QPR49625.1	RNL40994.1	WP_281668379.1
OG0000554	BAK44632.1	QPR49617.1	RNL40993.1	WP_281668378.1
OG0000555	BAK44633.1	QPR49492.1	RNL41066.1	WP_281669043.1
OG0000556	BAK44636.1	QPR49057.1	RNL40853.1	WP_114614707.1
OG0000557	BAK44644.1	QPR48691.1	RNL41080.1	WP_281669071.1
OG0000558	BAK44646.1, BAK45876.1		RNL41489.1	WP_281668877.1
OG0000559	BAK44697.1, BAK45053.1		RNL39961.1	WP_281668958.1
OG0000560	BAK44725.1		RNL37087.1, RNL38063.1, RNL38064.1	
OG0000561	BAK44750.1		RNL37446.1, RNL37549.1	WP_181861853.1
OG0000562	BAK44759.1	QPR49761.1	RNL40404.1	WP_281668423.1
OG0000563	BAK44761.1	QPR49464.1	RNL39495.1	WP_281668166.1
OG0000564	BAK44772.1, BAK45487.1		RNL40874.1, RNL41518.1	
OG0000565	BAK44776.1, BAK45489.1, BAK45760.1			WP_281668186.1
OG0000566	BAK44789.1, BAK45390.1			WP_281668141.1, WP_281669032.1
OG0000567	BAK44811.1	QPR49760.1	RNL40604.1	WP_281668375.1
OG0000568	BAK44821.1	QPR48315.1	RNL40600.1	WP_281668370.1
OG0000569	BAK44825.1	QPR48244.1	RNL40597.1	WP_114614977.1
OG0000570	BAK44826.1	QPR48649.1	RNL40596.1	WP_114614976.1
OG0000571	BAK44827.1		RNL37332.1, RNL41015.1	WP_281667921.1
OG0000572	BAK44828.1		RNL37331.1, RNL41108.1	WP_281667984.1
OG0000573	BAK44840.1	QPR48235.1	RNL41007.1	WP_281667912.1
OG0000574	BAK44841.1	QPR48233.1	RNL41006.1	WP_114616036.1
OG0000575	BAK44842.1	QPR49932.1	RNL41005.1	WP_281667911.1
OG0000576	BAK44843.1	QPR48478.1	RNL41004.1	WP_114616038.1
OG0000577	BAK44844.1	QPR49260.1	RNL41003.1	WP_114616039.1
OG0000578	BAK44845.1	QPR48168.1	RNL41002.1	WP_281667910.1
OG0000579	BAK44847.1	QPR48150.1	RNL41000.1	WP_114616042.1
OG0000580	BAK44848.1	QPR48149.1	RNL40999.1	WP_114616043.1
OG0000581	BAK44852.1, BAK45438.1	QPR49205.1	RNL40479.1	
OG0000582	BAK44856.1	QPR48065.1	RNL40638.1	WP_281669009.1
OG0000583	BAK44862.1	QPR48092.1	RNL41061.1	WP_281669008.1
OG0000584	BAK44870.1	QPR48083.1	RNL41060.1	WP_281669007.1
OG0000585	BAK44871.1	QPR48082.1	RNL41059.1	WP_114615082.1
OG0000586	BAK44872.1	QPR49218.1	RNL41058.1	WP_281669006.1
OG0000587	BAK44881.1	QPR49354.1	RNL41053.1	WP_281669003.1
OG0000588	BAK44882.1	QPR49353.1	RNL41052.1	WP_114615075.1
OG0000589	BAK44883.1	QPR49298.1	RNL41051.1	WP_281669002.1
OG0000590	BAK44884.1	QPR49160.1	RNL41050.1	WP_281669001.1
OG0000591	BAK44885.1	QPR49159.1	RNL41049.1	WP_114615072.1
OG0000592	BAK44886.1	QPR49158.1	RNL41048.1	WP_114615071.1
OG0000593	BAK44891.1	QPR49565.1	RNL41044.1	WP_281669140.1
OG0000594	BAK44892.1	QPR49021.1	RNL41043.1	WP_114615066.1
OG0000595	BAK44893.1	QPR48747.1	RNL40283.1, RNL41928.1	
OG0000596	BAK44895.1	QPR48575.1	RNL38545.1	WP_123219375.1
OG0000597	BAK44896.1	QPR48067.1	RNL38544.1	WP_114615019.1
OG0000598	BAK44900.1	QPR49198.1	RNL38584.1	WP_281668953.1
OG0000599	BAK44901.1	QPR48749.1	RNL38540.1	WP_281668952.1
OG0000600	BAK44902.1	QPR48787.1	RNL38539.1	WP_281668951.1
OG0000601	BAK44904.1	QPR48252.1	RNL38538.1	WP_281668950.1
OG0000602	BAK44905.1	QPR49922.1	RNL38537.1	WP_281668949.1
OG0000603	BAK44906.1	QPR48251.1	RNL38536.1	WP_281668948.1
OG0000604	BAK44909.1	QPR48256.1	RNL38583.1	WP_281668947.1
OG0000605	BAK44910.1	QPR48404.1	RNL38534.1	WP_281668946.1
OG0000606	BAK44915.1	QPR48123.1	RNL41013.1	WP_281667920.1
OG0000607	BAK44936.1		RNL39440.1, RNL41997.1	WP_281667904.1
OG0000608	BAK44943.1, BAK44944.1		RNL39418.1	WP_281668387.1
OG0000609	BAK44952.1, BAK45435.1		RNL40397.1	WP_281668554.1
OG0000610	BAK44974.1	QPR48964.1	RNL39561.1	WP_281668121.1
OG0000611	BAK44980.1	QPR49705.1	RNL41538.1	WP_114615809.1
OG0000612	BAK44983.1	QPR48532.1	RNL41431.1	WP_281667930.1
OG0000613	BAK44992.1		RNL41433.1, RNL41954.1	WP_281667929.1
OG0000614	BAK45002.1	QPR49574.1	RNL39803.1	WP_281667963.1
OG0000615	BAK45005.1	QPR49351.1	RNL39806.1	WP_281667961.1
OG0000616	BAK45006.1	QPR48259.1	RNL39807.1	WP_281667960.1
OG0000617	BAK45022.1	QPR49317.1	RNL37653.1	WP_281668929.1
OG0000618	BAK45024.1	QPR48172.1	RNL41980.1	WP_123218997.1
OG0000619	BAK45035.1	QPR48247.1	RNL39470.1	WP_114615998.1
OG0000620	BAK45036.1	QPR49483.1	RNL38431.1	WP_281669147.1
OG0000621	BAK45037.1, BAK45268.1		RNL38533.1	WP_281668945.1
OG0000622	BAK45039.1	QPR48765.1	RNL41439.1	WP_114615995.1
OG0000623	BAK45052.1, BAK45462.1, BAK45701.1		RNL37662.1	
OG0000624	BAK45056.1	QPR48718.1	RNL42178.1	WP_281668159.1
OG0000625	BAK45058.1	QPR48723.1	RNL41891.1	WP_281668161.1
OG0000626	BAK45060.1	QPR48725.1	RNL41892.1	WP_281668163.1
OG0000627	BAK45061.1, BAK45857.1		RNL41893.1	WP_281668164.1
OG0000628	BAK45063.1	QPR48728.1	RNL41895.1	WP_114616254.1
OG0000629	BAK45066.1	QPR48581.1	RNL41442.1	WP_281668016.1
OG0000630	BAK45067.1	QPR48582.1	RNL41443.1	WP_114616027.1
OG0000631	BAK45068.1	QPR49226.1	RNL41444.1	WP_281668015.1
OG0000632	BAK45069.1	QPR49912.1	RNL41445.1	WP_281668014.1
OG0000633	BAK45070.1	QPR48583.1	RNL41446.1	WP_123218733.1
OG0000634	BAK45071.1	QPR49197.1	RNL41447.1	WP_281668013.1
OG0000635	BAK45078.1	QPR49365.1	RNL39816.1	WP_123219617.1
OG0000636	BAK45079.1	QPR49364.1	RNL39858.1	WP_281667955.1
OG0000637	BAK45081.1	QPR48328.1	RNL39817.1	WP_281667953.1
OG0000638	BAK45082.1	QPR48329.1	RNL39818.1	WP_281667952.1
OG0000639	BAK45083.1	QPR48465.1	RNL39819.1	WP_114615417.1
OG0000640	BAK45084.1	QPR48490.1	RNL39820.1	WP_114615418.1
OG0000641	BAK45085.1	QPR48492.1	RNL39821.1	WP_114615419.1
OG0000642	BAK45086.1	QPR49375.1	RNL39822.1	WP_281667951.1
OG0000643	BAK45099.1		RNL37811.1, RNL41405.1	WP_281668806.1
OG0000644	BAK45107.1	QPR49328.1	RNL39145.1	WP_114614672.1
OG0000645	BAK45114.1	QPR48914.1	RNL41470.1	WP_281667990.1
OG0000646	BAK45115.1	QPR48185.1	RNL40226.1	WP_114615214.1
OG0000647	BAK45120.1	QPR49180.1	RNL42007.1	WP_281668697.1
OG0000648	BAK45121.1	QPR49181.1	RNL42008.1	WP_281668698.1
OG0000649	BAK45129.1		RNL39547.1, RNL40838.1, RNL42067.1	
OG0000650	BAK45131.1	QPR48107.1	RNL42014.1	WP_281668700.1
OG0000651	BAK45141.1	QPR49240.1	RNL42017.1	WP_281668701.1
OG0000652	BAK45150.1	QPR48859.1	RNL40613.1	WP_281668317.1
OG0000653	BAK45166.1	QPR49610.1	RNL39960.1	WP_281669124.1
OG0000654	BAK45183.1	QPR48918.1	RNL42021.1	WP_281668703.1
OG0000655	BAK45184.1	QPR48911.1	RNL42022.1	WP_281668705.1
OG0000656	BAK45188.1	QPR48827.1	RNL42041.1	WP_114615387.1
OG0000657	BAK45189.1	QPR48828.1	RNL42042.1	WP_114615388.1
OG0000658	BAK45190.1	QPR48829.1	RNL42188.1	WP_183907127.1
OG0000659	BAK45191.1	QPR48830.1	RNL42043.1	WP_281667973.1
OG0000660	BAK45192.1	QPR48831.1	RNL42044.1	WP_281667972.1
OG0000661	BAK45193.1	QPR49937.1	RNL42045.1	WP_114615392.1
OG0000662	BAK45194.1	QPR48832.1	RNL42046.1	WP_114615393.1
OG0000663	BAK45196.1	QPR48391.1	RNL42048.1	WP_114615395.1
OG0000664	BAK45197.1	QPR49570.1	RNL42049.1	WP_281667971.1
OG0000665	BAK45198.1	QPR49710.1	RNL42051.1	WP_281667970.1
OG0000666	BAK45202.1	QPR49709.1	RNL42071.1	WP_281667966.1
OG0000667	BAK45209.1	QPR49029.1	RNL39843.1	WP_281668666.1
OG0000668	BAK45211.1	QPR49422.1	RNL39844.1	WP_281668665.1
OG0000669	BAK45214.1	QPR48382.1	RNL37833.1	WP_114616372.1
OG0000670	BAK45215.1	QPR49456.1	RNL37806.1	WP_281668299.1
OG0000671	BAK45216.1	QPR49457.1	RNL37807.1	WP_281668300.1
OG0000672	BAK45217.1, BAK45218.1		RNL37808.1	WP_281668301.1
OG0000673	BAK45226.1	QPR49378.1	RNL37813.1	WP_281668181.1
OG0000674	BAK45228.1	QPR48452.1	RNL37815.1	WP_281668183.1
OG0000675	BAK45237.1	QPR48130.1	RNL37814.1	WP_281668182.1
OG0000676	BAK45243.1	QPR49325.1	RNL37819.1	WP_114615736.1
OG0000677	BAK45244.1	QPR49324.1	RNL37820.1	WP_281668263.1
OG0000678	BAK45246.1	QPR49368.1	RNL37825.1	WP_281668122.1
OG0000679	BAK45264.1	QPR49944.1	RNL40374.1	WP_281668477.1
OG0000680	BAK45271.1	QPR48265.1	RNL40370.1	WP_281668482.1
OG0000681	BAK45274.1	QPR49507.1		WP_281667829.1, WP_281668331.1
OG0000682	BAK45278.1	QPR48620.1, QPR49302.1	RNL38582.1	
OG0000683	BAK45308.1	QPR48669.1	RNL39180.1	WP_245910319.1
OG0000684	BAK45316.1	QPR49161.1	RNL42110.1	WP_281667875.1
OG0000685	BAK45323.1, BAK45360.1, BAK45361.1		RNL41940.1	
OG0000686	BAK45375.1	QPR49430.1	RNL40398.1	WP_123218788.1
OG0000687	BAK45376.1	QPR48095.1	RNL37330.1	WP_281668753.1
OG0000688	BAK45395.1	QPR49131.1	RNL37327.1	WP_114614554.1
OG0000689	BAK45405.1	QPR48569.1	RNL40520.1	WP_281668059.1
OG0000690	BAK45432.1		RNL38230.1	WP_281668319.1, WP_281668320.1
OG0000691	BAK45441.1, BAK45446.1, BAK45450.1, BAK45454.1			
OG0000692	BAK45456.1	QPR49263.1	RNL37668.1	WP_123219856.1
OG0000693	BAK45457.1	QPR49262.1	RNL37667.1	WP_183907142.1
OG0000694	BAK45463.1		RNL39839.1	WP_281668105.1, WP_281668673.1
OG0000695	BAK45473.1	QPR48403.1	RNL38547.1	WP_123219377.1
OG0000696	BAK45494.1	QPR49092.1	RNL41494.1	WP_114614863.1
OG0000697	BAK45495.1	QPR49093.1	RNL41496.1	WP_114614856.1
OG0000698	BAK45496.1	QPR49094.1	RNL41497.1	WP_114614855.1
OG0000699	BAK45497.1	QPR49096.1	RNL41499.1	WP_123218660.1
OG0000700	BAK45498.1	QPR49097.1	RNL41500.1	WP_114614853.1
OG0000701	BAK45499.1	QPR49098.1	RNL41501.1	WP_123218659.1
OG0000702	BAK45500.1	QPR49099.1	RNL41502.1	WP_281668868.1
OG0000703	BAK45501.1	QPR49100.1	RNL41503.1	WP_114614850.1
OG0000704	BAK45502.1	QPR49104.1	RNL41504.1	WP_114614849.1
OG0000705	BAK45503.1	QPR49105.1	RNL41505.1	WP_281668867.1
OG0000706	BAK45504.1	QPR49106.1	RNL41506.1	WP_170151663.1
OG0000707	BAK45505.1	QPR49107.1	RNL41507.1	WP_114614846.1
OG0000708	BAK45506.1	QPR49108.1	RNL41508.1	WP_123218657.1
OG0000709	BAK45507.1	QPR49109.1	RNL41509.1	WP_114614844.1
OG0000710	BAK45508.1	QPR49110.1	RNL41510.1	WP_114614843.1
OG0000711	BAK45509.1	QPR49111.1	RNL41511.1	WP_114614842.1
OG0000712	BAK45510.1	QPR49112.1	RNL41512.1	WP_114614841.1
OG0000713	BAK45511.1	QPR49113.1	RNL41513.1	WP_114614840.1
OG0000714	BAK45512.1	QPR49114.1	RNL41514.1	WP_114614839.1
OG0000715	BAK45514.1	QPR48455.1	RNL37558.1	WP_281668490.1
OG0000716	BAK45516.1	QPR49115.1	RNL38420.1	WP_114616163.1
OG0000717	BAK45517.1	QPR49116.1	RNL38421.1	WP_114616162.1
OG0000718	BAK45518.1	QPR49117.1	RNL38422.1	WP_114616161.1
OG0000719	BAK45519.1	QPR49118.1	RNL38443.1	WP_009304899.1
OG0000720	BAK45521.1	QPR49254.1	RNL38424.1	WP_114616159.1
OG0000721	BAK45522.1	QPR49253.1	RNL38425.1	WP_114616158.1
OG0000722	BAK45524.1	QPR49165.1, QPR49463.1, QPR49683.1		
OG0000723	BAK45527.1	QPR48855.1	RNL39904.1	WP_281669125.1
OG0000724	BAK45529.1, BAK45670.1, BAK45804.1		RNL40507.1	
OG0000725	BAK45535.1	QPR48298.1	RNL39908.1	WP_281668067.1
OG0000726	BAK45549.1	QPR48202.1	RNL39909.1	WP_281668431.1
OG0000727	BAK45596.1, BAK45597.1		RNL42163.1	WP_281668824.1
OG0000728	BAK45598.1, BAK45599.1		RNL42164.1	WP_281668432.1
OG0000729	BAK45601.1	QPR48903.1	RNL42165.1	WP_281668823.1
OG0000730	BAK45602.1	QPR49201.1	RNL42166.1	WP_281668822.1
OG0000731	BAK45604.1	QPR48264.1	RNL42180.1	WP_281668167.1
OG0000732	BAK45609.1	QPR48681.1	RNL41898.1	WP_281668168.1
OG0000733	BAK45617.1	QPR49739.1	RNL39176.1	WP_281668733.1
OG0000734	BAK45621.1	QPR49082.1	RNL39172.1	WP_281668731.1
OG0000735	BAK45622.1	QPR49083.1	RNL39171.1	WP_114614655.1
OG0000736	BAK45623.1	QPR49462.1	RNL39170.1	WP_114614656.1
OG0000737	BAK45624.1	QPR49084.1	RNL39169.1	WP_114614657.1
OG0000738	BAK45625.1	QPR49085.1	RNL39168.1	WP_114614658.1
OG0000739	BAK45626.1	QPR49087.1	RNL39166.1	WP_114614659.1
OG0000740	BAK45635.1	QPR49011.1	RNL40484.1	WP_114615221.1
OG0000741	BAK45636.1	QPR49012.1	RNL40483.1	WP_123219026.1
OG0000742	BAK45643.1		RNL39153.1	WP_114614663.1, WP_281668092.1
OG0000743	BAK45652.1	QPR49740.1	RNL40215.1	WP_281668771.1
OG0000744	BAK45656.1	QPR49471.1	RNL40523.1	WP_281668468.1
OG0000745	BAK45657.1	QPR48925.1	RNL39159.1	WP_281668729.1
OG0000746	BAK45661.1	QPR48676.1	RNL40451.1	WP_281667799.1
OG0000747	BAK45669.1	QPR48154.1	RNL40503.1	WP_281668456.1
OG0000748	BAK45672.1	QPR48254.1	RNL40462.1	WP_281668309.1
OG0000749	BAK45673.1	QPR48253.1	RNL40461.1	WP_281667791.1
OG0000750	BAK45702.1, BAK45764.1		RNL40460.1	WP_281667795.1
OG0000751	BAK45705.1	QPR48261.1	RNL38765.1	WP_281668633.1
OG0000752	BAK45710.1	QPR48714.1	RNL40269.1	WP_281668591.1
OG0000753	BAK45711.1	QPR49385.1	RNL37581.1	WP_123219951.1
OG0000754	BAK45716.1		RNL40810.1, RNL42137.1	WP_281668356.1
OG0000755	BAK45717.1		RNL40811.1, RNL42136.1	WP_281668355.1
OG0000756	BAK45719.1		RNL40806.1, RNL42139.1	WP_281668353.1
OG0000757	BAK45735.1		RNL41481.1, RNL41983.1	WP_281668917.1
OG0000758	BAK45799.1	QPR48757.1	RNL40275.1	WP_281668598.1
OG0000759	BAK45803.1	QPR48917.1	RNL40441.1	WP_281668420.1
OG0000760	BAK45816.1	QPR48453.1	RNL39185.1	WP_281668719.1
OG0000761	BAK45822.1, BAK45878.1	QPR48412.1	RNL37790.1	
OG0000762	BAK45850.1	QPR49313.1	RNL38036.1	WP_281668609.1
OG0000763	BAK45855.1	QPR48063.1	RNL40268.1	WP_281668590.1
OG0000764	BAK45861.1	QPR48818.1	RNL40859.1	WP_281667816.1
OG0000765	BAK45862.1	QPR48817.1	RNL40860.1	WP_281667817.1
OG0000766	BAK45866.1		RNL38048.1	WP_114615303.1, WP_281668091.1
OG0000767	BAK45873.1	QPR49526.1	RNL39097.1	WP_281668533.1
OG0000768	BAK45939.1		RNL40801.1, RNL40802.1, RNL40803.1	
OG0000769	BAK45957.1	QPR49246.1	RNL38856.1	WP_281668517.1
OG0000770	BAK45962.1	QPR49190.1	RNL37773.1	WP_281668519.1
OG0000771	BAK45964.1	QPR49876.1	RNL37776.1	WP_114615638.1
OG0000772	BAK45965.1	QPR49189.1	RNL37777.1	WP_114615639.1
OG0000773		QPR48119.1, QPR48192.1, QPR48739.1, QPR48740.1		
OG0000774		QPR48160.1, QPR48162.1, QPR48522.1, QPR48716.1		
OG0000775		QPR48271.1, QPR48385.1, QPR48589.1, QPR48849.1		
OG0000776		QPR48370.1, QPR48536.1, QPR48956.1	RNL39542.1	
OG0000777		QPR48414.1, QPR49266.1, QPR49795.1	RNL37225.1	
OG0000778		QPR48417.1, QPR49269.1, QPR49396.1, QPR49798.1		
OG0000779		QPR48539.1, QPR49614.1	RNL39815.1	WP_281668424.1
OG0000780		QPR48555.1, QPR48756.1, QPR49550.1, QPR49894.1		
OG0000781		QPR48626.1, QPR49911.1	RNL37992.1	WP_281669103.1
OG0000782		QPR48652.1, QPR49036.1	RNL42186.1	WP_281668778.1
OG0000783		QPR48752.1, QPR49765.1, QPR49809.1, QPR49907.1		
OG0000784		QPR48882.1	RNL42091.1, RNL42191.1	WP_281668425.1
OG0000785		QPR48921.1, QPR49007.1, QPR49398.1, QPR49441.1		
OG0000786		QPR49075.1	RNL38843.1, RNL42119.1	WP_281668572.1
OG0000787		QPR49217.1, QPR49664.1	RNL40656.1	WP_281667926.1
OG0000788		QPR49603.1	RNL41902.1	WP_281668223.1, WP_281668797.1
OG0000789		QPR49812.1, QPR49817.1	RNL39053.1, RNL41906.1	
OG0000790		QPR49856.1, QPR49860.1, QPR49861.1, QPR49862.1		
OG0000791			RNL37234.1, RNL39182.1	WP_281668738.1, WP_281668739.1
OG0000792			RNL37982.1, RNL38066.1, RNL39059.1, RNL40788.1	
OG0000793			RNL38771.1, RNL39084.1, RNL42031.1, RNL42036.1	
OG0000794			RNL38818.1, RNL40234.1, RNL40235.1, RNL40294.1	
OG0000795			RNL39429.1, RNL40232.1	WP_281667907.1, WP_281668462.1
OG0000796			RNL39464.1, RNL41363.1, RNL41434.1, RNL41437.1	
OG0000797			RNL40243.1, RNL40244.1, RNL41520.1, RNL41521.1	
OG0000798			RNL41864.1, RNL42072.1	WP_281668032.1, WP_281668653.1
OG0000799				WP_281668220.1, WP_281668227.1, WP_281668228.1, WP_281668229.1
OG0000800	BAK43291.1		RNL37780.1	WP_281668523.1
OG0000801	BAK43341.1, BAK45917.1			WP_281667827.1
OG0000802	BAK43344.1		RNL40854.1	WP_281668620.1
OG0000803	BAK43349.1, BAK45927.1		RNL39091.1	
OG0000804	BAK43354.1		RNL37786.1	WP_114616337.1
OG0000805	BAK43356.1		RNL37788.1	WP_281668240.1
OG0000806	BAK43357.1		RNL40400.1	WP_281668558.1
OG0000807	BAK43368.1		RNL38836.1	WP_281668243.1
OG0000808	BAK43375.1, BAK43382.1, BAK43593.1			
OG0000809	BAK43381.1, BAK45774.1		RNL39096.1	
OG0000810	BAK43395.1		RNL40800.1	WP_281668237.1
OG0000811	BAK43400.1		RNL39548.1	WP_281668089.1
OG0000812	BAK43404.1		RNL38752.1	WP_281668636.1
OG0000813	BAK43414.1		RNL38045.1	WP_123219546.1
OG0000814	BAK43415.1		RNL38044.1	WP_114615299.1
OG0000815	BAK43428.1		RNL37826.1	WP_281668769.1
OG0000816	BAK43431.1		RNL39899.1, RNL42168.1	
OG0000817	BAK43444.1		RNL39073.1	WP_281667863.1
OG0000818	BAK43450.1		RNL39521.1	WP_281668173.1
OG0000819	BAK43451.1		RNL39520.1	WP_281668172.1
OG0000820	BAK43452.1		RNL39519.1	WP_281668171.1
OG0000821	BAK43453.1		RNL39518.1	WP_181861919.1
OG0000822	BAK43454.1		RNL39517.1	WP_123219895.1
OG0000823	BAK43455.1		RNL39516.1	WP_281668170.1
OG0000824	BAK43463.1	QPR49062.1	RNL40849.1	
OG0000825	BAK43486.1, BAK43960.1, BAK45476.1			
OG0000826	BAK43487.1, BAK43963.1, BAK45478.1			
OG0000827	BAK43494.1	QPR48722.1, QPR49227.1		
OG0000828	BAK43502.1		RNL40352.1	WP_281668486.1
OG0000829	BAK43510.1		RNL40353.1	WP_281668326.1
OG0000830	BAK43512.1		RNL40241.1	WP_123219788.1
OG0000831	BAK43519.1, BAK44356.1		RNL37659.1	
OG0000832	BAK43527.1		RNL40295.1	WP_123219786.1
OG0000833	BAK43531.1	QPR49596.1		WP_281667807.1
OG0000834	BAK43540.1, BAK44530.1, BAK45393.1			
OG0000835	BAK43548.1		RNL40785.1, RNL40861.1	
OG0000836	BAK43550.1, BAK44947.1		RNL40778.1	
OG0000837	BAK43556.1, BAK43884.1		RNL38748.1	
OG0000838	BAK43557.1, BAK43876.1		RNL38749.1	
OG0000839	BAK43568.1, BAK43671.1, BAK45401.1			
OG0000840	BAK43572.1		RNL38062.1	WP_281667823.1
OG0000841	BAK43576.1	QPR49662.1	RNL38755.1	
OG0000842	BAK43578.1		RNL39452.1	WP_281668024.1
OG0000843	BAK43586.1		RNL38053.1	WP_281667830.1
OG0000844	BAK43592.1		RNL38821.1	WP_123218826.1
OG0000845	BAK43595.1		RNL37431.1, RNL38814.1	
OG0000846	BAK43598.1		RNL37443.1	WP_281668616.1
OG0000847	BAK43605.1		RNL39524.1	WP_114615727.1
OG0000848	BAK43606.1		RNL39525.1	WP_114615726.1
OG0000849	BAK43607.1		RNL39526.1	WP_281668176.1
OG0000850	BAK43609.1		RNL38073.1	WP_281668613.1
OG0000851	BAK43613.1		RNL38033.1	WP_281668612.1
OG0000852	BAK43624.1	QPR48157.1, QPR48519.1		
OG0000853	BAK43625.1	QPR48158.1, QPR48520.1		
OG0000854	BAK43635.1		RNL38438.1	WP_123220187.1
OG0000855	BAK43636.1		RNL38436.1	WP_281669149.1
OG0000856	BAK43637.1		RNL38435.1	WP_281669148.1
OG0000857	BAK43640.1		RNL38432.1, RNL41844.1	
OG0000858	BAK43646.1		RNL41953.1	WP_281668489.1
OG0000859	BAK43648.1		RNL39036.1	WP_114615698.1
OG0000860	BAK43651.1		RNL41952.1	WP_281668492.1
OG0000861	BAK43656.1, BAK45158.1		RNL41087.1	
OG0000862	BAK43659.1, BAK45161.1		RNL41083.1	
OG0000863	BAK43666.1	QPR48592.1	RNL40842.1	
OG0000864	BAK43668.1, BAK44511.1		RNL38225.1	
OG0000865	BAK43683.1	QPR48799.1		WP_281669016.1
OG0000866	BAK43684.1		RNL39424.1	WP_281669020.1
OG0000867	BAK43699.1, BAK44658.1		RNL37796.1	
OG0000868	BAK43700.1, BAK44358.1, BAK44659.1			
OG0000869	BAK43703.1, BAK44661.1		RNL39081.1	
OG0000870	BAK43705.1, BAK44663.1		RNL39083.1	
OG0000871	BAK43718.1, BAK44680.1		RNL37794.1	
OG0000872	BAK43720.1, BAK44682.1	QPR48046.1		
OG0000873	BAK43722.1, BAK43731.1, BAK44685.1			
OG0000874	BAK43740.1		RNL39538.1	WP_281667882.1
OG0000875	BAK43752.1		RNL39559.1	WP_281668204.1
OG0000876	BAK43754.1, BAK45384.1			WP_281667844.1
OG0000877	BAK43772.1, BAK44442.1		RNL42062.1	
OG0000878	BAK43773.1, BAK45748.1			WP_281669069.1
OG0000879	BAK43780.1, BAK44665.1		RNL41365.1	
OG0000880	BAK43781.1		RNL40478.1	WP_281668460.1
OG0000881	BAK43789.1, BAK43895.1, BAK44613.1			
OG0000882	BAK43793.1		RNL42000.1	WP_123219069.1
OG0000883	BAK43800.1		RNL41874.1	WP_281668839.1
OG0000884	BAK43804.1		RNL41870.1	WP_114614826.1
OG0000885	BAK43807.1		RNL42099.1	WP_281668217.1
OG0000886	BAK43812.1	QPR49866.1		WP_281668442.1
OG0000887	BAK43827.1, BAK44264.1		RNL42145.1	
OG0000888	BAK43833.1		RNL41092.1	WP_281668858.1
OG0000889	BAK43834.1		RNL41091.1	WP_281668859.1
OG0000890	BAK43842.1		RNL38825.1	WP_281668155.1
OG0000891	BAK43859.1		RNL39851.1	WP_281668706.1
OG0000892	BAK43865.1		RNL42148.1	WP_281668863.1
OG0000893	BAK43875.1		RNL41859.1	WP_281668061.1
OG0000894	BAK43885.1, BAK45124.1		RNL38068.1	
OG0000895	BAK43888.1		RNL41842.1	WP_281668196.1
OG0000896	BAK43892.1		RNL39183.1	WP_281668715.1
OG0000897	BAK43910.1	QPR49676.1	RNL39465.1	
OG0000898	BAK43923.1, BAK45000.1, BAK45726.1			
OG0000899	BAK43928.1		RNL37579.1	WP_123219952.1
OG0000900	BAK43935.1		RNL41535.1	WP_281668811.1
