Orthogroup	GCA_000008865.2	MG1655	Wolbachia	fragilis
OG0001609				QRP89352.1, QRP90585.1, QRP91414.1
OG0001610				QRP89353.1, QRP90583.1, QRP90588.1
OG0001611				QRP89357.1, QRP89369.1, QRP91246.1
OG0001612				QRP89376.1, QRP89606.1, QRP90319.1
OG0001613				QRP89449.1, QRP90038.1, QRP90982.1
OG0001614				QRP89459.1, QRP90295.1, QRP90472.1
OG0001615				QRP89586.1, QRP89587.1, QRP90468.1
OG0001616				QRP89614.1, QRP89616.1, QRP90678.1
OG0001617				QRP89618.1, QRP89960.1, QRP91431.1
OG0001618				QRP89631.1, QRP89632.1, QRP89633.1
OG0001619				QRP89752.1, QRP90658.1, QRP90732.1
OG0001620				QRP89941.1, QRP90017.1, QRP90018.1
OG0001621				QRP90087.1, QRP90509.1, QRP91397.1
OG0001622				QRP90161.1, QRP90217.1, QRP90219.1
OG0001623				QRP90363.1, QRP90563.1, QRP90908.1
OG0001624				QRP90384.1, QRP90387.1, QRP90401.1
OG0001625	BAA31754.1			QRP91521.1
OG0001626	BAA31758.1	QNV50516.1		
OG0001627	BAA31759.1	AAC76350.2		
OG0001628	BAA31761.1	AAC76352.1		
OG0001629	BAA31762.1	AAC76353.1		
OG0001630	BAA31763.1	AAC76354.1		
OG0001631	BAA31764.1	AAC76355.2		
OG0001632	BAA31765.1	AAC76356.1		
OG0001633	BAA31766.1	AAC76357.1		
OG0001634	BAA31768.1	AAC76004.1		
OG0001635	BAA31769.1	AAC76360.1		
OG0001636	BAA31778.1, BAA31786.1			
OG0001637	BAA31785.1, BAB33476.1			
OG0001638	BAA31796.1, BAA31800.1			
OG0001639	BAA31804.1			QRP89790.1
OG0001640	BAB33426.1	AAC73114.1		
OG0001641	BAB33428.1	AAC73116.1		
OG0001642	BAB33431.1	AAC73119.1		
OG0001643	BAB33432.1	AAC73120.1		
OG0001644	BAB33433.1	AAC73121.1		
OG0001645	BAB33434.1	AAC73122.1		
OG0001646	BAB33436.1	AAC73124.1		
OG0001647	BAB33439.1	AAC73129.1		
OG0001648	BAB33441.2	AAC73131.1		
OG0001649	BAB33454.1	AAC73139.1		
OG0001650	BAB33456.1	AAC73141.1		
OG0001651	BAB33462.2	AAC73147.2		
OG0001652	BAB33463.2	AAC73148.2		
OG0001653	BAB33464.1	AAC73149.1		
OG0001654	BAB33466.1	AAC73151.1		
OG0001655	BAB33470.1	AAC73155.1		
OG0001656	BAB33477.1	AAC73160.1		
OG0001657	BAB33482.1	AAC73165.1		
OG0001658	BAB33483.1	AAC73166.1		
OG0001659	BAB33487.1	AAC73171.1		
OG0001660	BAB33489.1	AAC73173.1		
OG0001661	BAB33490.1	AAC73174.1		
OG0001662	BAB33491.1	AAC73175.1		
OG0001663	BAB33492.1	AAC73176.1		
OG0001664	BAB33493.1	AAC73177.1		
OG0001665	BAB33494.1	AAC73178.1		
OG0001666	BAB33495.1	AAC73179.1		
OG0001667	BAB33497.1	AAC73180.1		
OG0001668	BAB33502.1	AAC73186.1		
OG0001669	BAB33503.1	AAC73187.2		
OG0001670	BAB33505.1	AAC73189.1		
OG0001671	BAB33507.1	AAC73191.1		
OG0001672	BAB33508.1	AAC73192.1		
OG0001673	BAB33510.1	AAC73194.1		
OG0001674	BAB33516.1	AAC73200.1		
OG0001675	BAB33520.1	AAC73204.1		
OG0001676	BAB33523.1	AAC73207.1		
OG0001677	BAB33524.2	AAC73208.2		
OG0001678	BAB33526.1	AAC73210.1		
OG0001679	BAB33528.1	AAC73212.1		
OG0001680	BAB33529.1	AAC73213.1		
OG0001681	BAB33531.1	AAC73215.1		
OG0001682	BAB33533.1	AAC73217.1		
OG0001683	BAB33535.1	AAC73219.1		
OG0001684	BAB33538.1	AAC73222.1		
OG0001685	BAB33541.1	AAC73225.1		
OG0001686	BAB33542.1	AAC73226.1		
OG0001687	BAB33544.1	AAC73228.1		
OG0001688	BAB33545.1	AAC73229.1		
OG0001689	BAB33546.2	AAC73230.2		
OG0001690	BAB33547.1	AAC73231.1		
OG0001691	BAB33548.1	AAC73232.1		
OG0001692	BAB33549.2	AAC73233.2		
OG0001693	BAB33550.1	AAC73234.1		
OG0001694	BAB33551.1	AAC73235.1		
OG0001695	BAB33553.1	AAC73237.1		
OG0001696	BAB33554.1	AAC73238.1		
OG0001697	BAB33555.1	AAC73239.1		
OG0001698	BAB33557.1	AAC73241.1		
OG0001699	BAB33559.1	AAC73243.1		
OG0001700	BAB33563.1	AAC73247.1		
OG0001701	BAB33564.1	AAC73248.1		
OG0001702	BAB33565.2	AAC73249.2		
OG0001703	BAB33566.1	AAC73250.1		
OG0001704	BAB33568.1	AAC73252.1		
OG0001705	BAB33571.1	AAC73255.3		
OG0001706	BAB33573.1	AAC73257.1		
OG0001707	BAB33574.2	AAC73258.2		
OG0001708	BAB33575.2	AAC73259.2		
OG0001709	BAB33579.1	AAC73263.1		
OG0001710	BAB33580.1	AAC73264.1		
OG0001711	BAB33581.1	AAC73265.1		
OG0001712	BAB33585.1	AAC73269.1		
OG0001713	BAB33589.1	AAC73273.2		
OG0001714	BAB33590.1	AAC73274.1		
OG0001715	BAB33592.1	AAC73278.1		
OG0001716	BAB33603.1	AAC73289.1		
OG0001717	BAB33610.1	AAC73296.1		
OG0001718	BAB33612.2	AAC73298.2		
OG0001719	BAB33614.1	AAC73300.2		
OG0001720	BAB33615.1	AAC73301.1		
OG0001721	BAB33616.1	AAC73302.1		
OG0001722	BAB33618.1	AAC73304.2		
OG0001723	BAB33620.1	AAC73306.1		
OG0001724	BAB33621.1	AAC73307.1		
OG0001725	BAB33622.1	AAC73308.1		
OG0001726	BAB33623.1	AAC73309.1		
OG0001727	BAB33624.1	AAC73310.1		
OG0001728	BAB33627.1	AAC73313.1		
OG0001729	BAB33628.2	AAC73314.1		
OG0001730	BAB33631.1	AAC73317.1		
OG0001731	BAB33632.2	AAC73318.2		
OG0001732	BAB33667.1	AAC74539.1		
OG0001733	BAB33670.2	AAC73324.1		
OG0001734	BAB33671.2	AAC73325.2		
OG0001735	BAB33673.1	AAC73327.1		
OG0001736	BAB33674.1	AAC73328.1		
OG0001737	BAB33675.1	AAC73329.1		
OG0001738	BAB33676.1	AAC73330.1		
OG0001739	BAB33677.2	AAC73331.1		
OG0001740	BAB33682.1	AAC73336.1		
OG0001741	BAB33683.1	AAC73337.1		
OG0001742	BAB33684.2	AAC73338.1		
OG0001743	BAB33686.1			QRP89430.1
OG0001744	BAB33688.1	AAC73342.1		
OG0001745	BAB33689.1	AAC73343.1		
OG0001746	BAB33691.1	AAC73345.1		
OG0001747	BAB33703.1	AAC74238.1		
OG0001748	BAB33704.1	AAC74240.1		
OG0001749	BAB33719.1	AAC75143.1		
OG0001750	BAB33728.2	AYC08174.1		
OG0001751	BAB33736.1	AAC73386.1		
OG0001752	BAB33737.1	AAC73387.1		
OG0001753	BAB33738.1	AAC73388.1		
OG0001754	BAB33739.1	AAC73389.1		
OG0001755	BAB33740.1	AAC73390.1		
OG0001756	BAB33742.2	AAC73392.2		
OG0001757	BAB33743.1	AAC73393.1		
OG0001758	BAB33744.1	AAC73394.1		
OG0001759	BAB33745.1	AAC73395.1		
OG0001760	BAB33746.1	AAC73396.1		
OG0001761	BAB33747.2	AAC73397.1		
OG0001762	BAB33749.1	AAC73398.1		
OG0001763	BAB33766.1	AAC73408.1		
OG0001764	BAB33780.1	AAC73414.1		
OG0001765	BAB33781.2	AAC73415.1		
OG0001766	BAB33782.1	AAC73416.1		
OG0001767	BAB33783.1	AAC73417.1		
OG0001768	BAB33789.1	AAC73420.1		
OG0001769	BAB33791.1	AAC73422.1		
OG0001770	BAB33792.1	AAC73423.1		
OG0001771	BAB33793.1	AAC73424.1		
OG0001772	BAB33794.1	AYC08176.2		
OG0001773	BAB33795.1	AAC73426.1		
OG0001774	BAB33796.1	AAC73427.1		
OG0001775	BAB33802.1	AAC73428.1		
OG0001776	BAB33803.1	AAC73429.1		
OG0001777	BAB33806.1	AAC73432.1		
OG0001778	BAB33807.1	AAC73433.1		
OG0001779	BAB33808.1	AAC73434.1		
OG0001780	BAB33810.1	AAC73437.1		
OG0001781	BAB33811.1	AAC73438.1		
OG0001782	BAB33812.1	AAC73439.1		
OG0001783	BAB33813.1	AAC73440.1		
OG0001784	BAB33814.1	AAC73441.3		
OG0001785	BAB33815.2	AAC73442.1		
OG0001786	BAB33816.1	AAC73443.1		
OG0001787	BAB33817.2	AAC73444.1		
OG0001788	BAB33821.2	AAC73448.1		
OG0001789	BAB33822.1, BAB35566.2			
OG0001790	BAB33823.2			QRP91582.1
OG0001791	BAB33824.1	AAC73449.2		
OG0001792	BAB33825.1	AAC73450.1		
OG0001793	BAB33826.1	AAC73451.1		
OG0001794	BAB33827.2	AAC73452.3		
OG0001795	BAB33828.2	AAC73453.2		
OG0001796	BAB33829.1	AAC73454.1		
OG0001797	BAB33830.1	AAC73455.1		
OG0001798	BAB33832.2	AAC73457.2		
OG0001799	BAB33834.1	AAC73459.1		
OG0001800	BAB33835.2	AAC73460.2		
OG0001801	BAB33842.1	AAC73468.2		
OG0001802	BAB33843.1	AAC73469.1		
OG0001803	BAB33844.1	AAC73470.1		
OG0001804	BAB33845.1	AAC73471.1		
OG0001805	BAB33848.2	AAC73478.2		
OG0001806	BAB33849.1	AAC73479.1		
OG0001807	BAB33850.1	AAC73480.1		
OG0001808	BAB33851.1	AAC73481.1		
OG0001809	BAB33852.1	AAC73482.1		
OG0001810	BAB33853.2	AAC73483.2		
OG0001811	BAB33854.1	AAC73484.1		
OG0001812	BAB33855.1	AAC73485.1		
OG0001813	BAB33857.2	AAC73487.2		
OG0001814	BAB33858.1	AAC73488.1		
OG0001815	BAB33859.2	AAC73490.2		
OG0001816	BAB33860.2	AAC73489.1		
OG0001817	BAB33862.1	AAC73492.1		
OG0001818	BAB33863.1	AAC73493.1		
OG0001819	BAB33864.1	AAC73494.1		
OG0001820	BAB33867.2	AAC73497.2		
OG0001821	BAB33868.2	AAC73496.1		
OG0001822	BAB33869.2	AAC73499.1		
OG0001823	BAB33874.1	AAC73504.1		
OG0001824	BAB33875.1	AAC73505.1		
OG0001825	BAB33878.1	AAC73507.1		
OG0001826	BAB33886.1	AAC73513.1		
OG0001827	BAB33887.1	AAC73514.1		
OG0001828	BAB33888.2	AAC73515.2		
OG0001829	BAB33889.1	AAC73516.1		
OG0001830	BAB33899.1	AAC73525.1		
OG0001831	BAB33900.1	AAC73526.1		
OG0001832	BAB33902.1	AAC73528.1		
OG0001833	BAB33903.2	AAC73529.2		
OG0001834	BAB33904.2	AAC73530.2		
OG0001835	BAB33906.1	AAC73532.1		
OG0001836	BAB33911.2	AAC73537.2		
OG0001837	BAB33919.1	AAC73545.1		
OG0001838	BAB33922.1	AAC73548.1		
OG0001839	BAB33923.2	AAC73549.2		
OG0001840	BAB33926.1	AAC73552.1		
OG0001841	BAB33927.1	AAC73553.1		
OG0001842	BAB33928.1	AAC73554.1		
OG0001843	BAB33929.1	AAC73555.1		
OG0001844	BAB33930.1	AAC73556.1		
OG0001845	BAB33932.1	AAC73558.1		
OG0001846	BAB33933.2	AAC73559.2		
OG0001847	BAB33934.2	AAC73560.2		
OG0001848	BAB33935.1	AAC73561.1		
OG0001849	BAB33936.1	AAC73562.1		
OG0001850	BAB33937.1	AAC73563.1		
OG0001851	BAB33941.1	AAC73567.1		
OG0001852	BAB33942.1	AAC73568.1		
OG0001853	BAB33943.1	AAC73569.1		
OG0001854	BAB33952.1	AAC73578.1		
OG0001855	BAB33953.1	AAC73579.1		
OG0001856	BAB33956.1	AAC73582.1		
OG0001857	BAB33958.1	AAC73584.1		
OG0001858	BAB33959.1	AAC73585.2		
OG0001859	BAB33962.1	AAC73588.1		
OG0001860	BAB33964.1, BAB33965.1			
OG0001861	BAB33968.1	AAC73589.1		
OG0001862	BAB33971.1, BAB37903.1			
OG0001863	BAB33974.2	AAC73590.2		
OG0001864	BAB33975.1	AAC73591.1		
OG0001865	BAB33976.1	AAC73592.1		
OG0001866	BAB33978.2	AAC73594.2		
OG0001867	BAB33979.1	AAC73595.1		
OG0001868	BAB33980.2	AAC73597.1		
OG0001869	BAB33981.2	AAC73596.1		
OG0001870	BAB33982.1	AAC73598.1		
OG0001871	BAB33986.2	AYC08181.1		
OG0001872	BAB33987.1	AAC73605.1		
OG0001873	BAB33989.1	AAC73607.1		
OG0001874	BAB33990.1	AAC73608.1		
OG0001875	BAB33991.1	AAC73609.1		
OG0001876	BAB33993.1	AAC73611.1		
OG0001877	BAB33995.1	AAC73613.2		
OG0001878	BAB33998.2	AAC73615.2		
OG0001879	BAB33999.1	AAC73616.1		
OG0001880	BAB34000.1	AAC73617.1		
OG0001881	BAB34001.1	AAC73618.1		
OG0001882	BAB34002.1	AAC73619.1		
OG0001883	BAB34003.1	AAC73620.1		
OG0001884	BAB34004.2	ABD18638.2		
OG0001885	BAB34005.1	AAC73622.1		
OG0001886	BAB34006.1	AAC73623.1		
OG0001887	BAB34012.1	AAC73629.1		
OG0001888	BAB34013.2	AAC73630.2		
OG0001889	BAB34016.1	AAC73633.1		
OG0001890	BAB34018.2	AAC73635.2		
OG0001891	BAB34019.1	AAC73636.1		
OG0001892	BAB34021.1	AAC73667.1		
OG0001893	BAB34022.1	AAC73668.1		
OG0001894	BAB34023.1	AAC73669.1		
OG0001895	BAB34024.1	AAC73670.1		
OG0001896	BAB34026.1, BAB34028.1			
OG0001897	BAB34034.1	AAC73674.1		
OG0001898	BAB34041.1	AAC73681.1		
OG0001899	BAB34042.1	AAC73682.1		
OG0001900	BAB34044.2	AAT48125.1		
OG0001901	BAB34045.2	AAC73684.2		
OG0001902	BAB34046.1	AAC73685.1		
OG0001903	BAB34047.2	AAC73686.2		
OG0001904	BAB34049.1	AAC73688.1		
OG0001905	BAB34051.1	AAC73690.1		
OG0001906	BAB34052.1	AAC73691.1		
OG0001907	BAB34053.1	AAC73692.1		
OG0001908	BAB34056.1	AAC73695.1		
OG0001909	BAB34057.1	AAC73696.1		
OG0001910	BAB34058.1	AAC73697.1		
OG0001911	BAB34061.1	AAC73700.1		
OG0001912	BAB34065.1	AAC73704.1		
OG0001913	BAB34066.2	AAC73705.2		
OG0001914	BAB34069.1	AAC73708.1		
OG0001915	BAB34072.1	AAC73711.1		
OG0001916	BAB34073.1	AAC73712.1		
OG0001917	BAB34074.1	AAC73713.1		
OG0001918	BAB34075.1	AAC73714.1		
OG0001919	BAB34076.1	AAC73715.1		
OG0001920	BAB34077.1	AAC73716.1		
OG0001921	BAB34078.2	AAC73717.2		
OG0001922	BAB34079.1	AAC73718.1		
OG0001923	BAB34080.2	AAC73719.2		
OG0001924	BAB34081.1	AAC73720.1		
OG0001925	BAB34082.1	AAC73721.1		
OG0001926	BAB34083.1	AAC73722.1		
OG0001927	BAB34084.1	AAC73723.1		
OG0001928	BAB34087.1			QRP89741.1
OG0001929	BAB34088.1	AAC73728.1		
OG0001930	BAB34090.2	AAC73730.2		
OG0001931	BAB34092.1	AAC73732.1		
OG0001932	BAB34099.1	AAC73739.1		
OG0001933	BAB34101.1	AAC73741.1		
OG0001934	BAB34102.1	AAC73742.1		
OG0001935	BAB34104.1	AAC73744.1		
OG0001936	BAB34106.1	AAC73746.1		
OG0001937	BAB34108.1	AAC73748.1		
OG0001938	BAB34109.1	AAC73749.1		
OG0001939	BAB34112.1	AAC73751.1		
OG0001940	BAB34113.1	AAC73752.1		
OG0001941	BAB34114.1	AAC73753.1		
OG0001942	BAB34115.1	AAC73754.1		
OG0001943	BAB34116.1	AAC73755.1		
OG0001944	BAB34117.1	AAC73756.1		
OG0001945	BAB34118.1	AAC73758.1		
OG0001946	BAB34123.1	AAC73763.1		
OG0001947	BAB34128.1	AAC73769.1		
OG0001948	BAB34132.1	AAC73773.1		
OG0001949	BAB34136.1	AAC73776.1		
OG0001950	BAB34137.1	AAC73777.1		
OG0001951	BAB34139.1	AAC73779.2		
OG0001952	BAB34140.1	AAC73780.1		
OG0001953	BAB34141.1	AAC73781.1		
OG0001954	BAB34142.1	AAC73782.1		
OG0001955	BAB34143.1	AAC73786.1		
OG0001956	BAB34145.1	AAC73788.1		
OG0001957	BAB34150.1	ABD18643.1		
OG0001958	BAB34151.1	AAC73793.1		
OG0001959	BAB34153.1	AAC73798.1		
OG0001960	BAB34155.1	AAC73801.1		
OG0001961	BAB34156.1	AAC73802.1		
OG0001962	BAB34157.1	AAC73803.1		
OG0001963	BAB34159.1	AAC73805.1		
OG0001964	BAB34160.1	AAC73806.1		
OG0001965	BAB34161.1	AAC73807.1		
OG0001966	BAB34162.1	AAC73808.1		
OG0001967	BAB34163.2	AAC73809.2		
OG0001968	BAB34170.1	AAC73816.1		
OG0001969	BAB34193.1	AAC73829.1		
OG0001970	BAB34194.1	AAC73830.1		
OG0001971	BAB34197.1	AAC73833.1		
OG0001972	BAB34200.1	AAC73836.1		
OG0001973	BAB34204.1	AAC73840.1		
OG0001974	BAB34205.1	AAC73841.1		
OG0001975	BAB34209.1	AAC73845.1		
OG0001976	BAB34212.1	AAC73848.1		
OG0001977	BAB34213.1	AAC73849.1		
OG0001978	BAB34214.1	AAC73850.1		
OG0001979	BAB34216.1	AAC73852.1		
OG0001980	BAB34217.1	AAC73853.1		
OG0001981	BAB34220.1	AAC73856.1		
OG0001982	BAB34221.1	AAC73857.1		
OG0001983	BAB34222.2	AAC73858.2		
OG0001984	BAB34223.1	AAC73859.1		
OG0001985	BAB34239.2, BAB36923.1			
OG0001986	BAB34247.1, BAB36387.1			
OG0001987	BAB34248.1, BAB36386.1			
OG0001988	BAB34249.2, BAB36384.1			
OG0001989	BAB34252.2, BAB36380.2			
OG0001990	BAB34253.2, BAB36379.1			
OG0001991	BAB34254.1, BAB36378.1			
OG0001992	BAB34269.1, BAB37280.1			
OG0001993	BAB34271.1, BAB35237.1			
OG0001994	BAB34276.1	AAC73862.1		
OG0001995	BAB34277.1	AAC73863.1		
OG0001996	BAB34278.1	AAC73864.1		
OG0001997	BAB34281.1	AAC73867.1		
OG0001998	BAB34282.1	AAC73868.1		
OG0001999	BAB34283.1	AAC73869.1		
OG0002000	BAB34284.1	AAC73870.1		
OG0002001	BAB34285.1	AAC73871.1		
OG0002002	BAB34286.1	AAC73872.1		
OG0002003	BAB34288.1	AAC73874.1		
OG0002004	BAB34289.1	AAC73875.1		
OG0002005	BAB34291.1	AAC73877.1		
OG0002006	BAB34292.1	AAC73878.1		
OG0002007	BAB34293.1	AAC73879.1		
OG0002008	BAB34297.2	AAC73883.2		
OG0002009	BAB34299.1, BAB34983.1			
OG0002010	BAB34300.1	AAC73886.1		
OG0002011	BAB34301.1	AAC73887.1		
OG0002012	BAB34302.1	AAC73888.1		
OG0002013	BAB34303.1	AAC73889.1		
OG0002014	BAB34304.1	AAC73890.1		
OG0002015	BAB34305.2	AAC73891.2		
OG0002016	BAB34306.1	AAC73892.1		
OG0002017	BAB34307.2	AAC73893.2		
OG0002018	BAB34309.1	AAC73895.2		
OG0002019	BAB34311.1	AAC73897.1		
OG0002020	BAB34312.1	AAC73898.1		
OG0002021	BAB34313.1	AAC73899.1		
OG0002022	BAB34314.1	AAC73900.1		
OG0002023	BAB34315.1	AAC73901.1		
OG0002024	BAB34316.1	AAC73902.1		
OG0002025	BAB34317.1	AAC73904.1		
OG0002026	BAB34318.1	AAC73905.1		
OG0002027	BAB34319.1	AAC73906.1		
OG0002028	BAB34321.1	AAC73908.1		
OG0002029	BAB34322.1	AAC73909.1		
OG0002030	BAB34325.1	AAC73911.2		
OG0002031	BAB34327.1	AAC73913.1		
OG0002032	BAB34328.1	AAC73914.1		
OG0002033	BAB34331.2	AAC73916.2		
OG0002034	BAB34332.1	AAC73917.1		
OG0002035	BAB34333.1	AAC73918.1		
OG0002036	BAB34334.1	AAC73919.1		
OG0002037	BAB34335.1	AAC73920.1		
OG0002038	BAB34336.1	AAC73921.1		
OG0002039	BAB34339.1	AAC73923.1		
OG0002040	BAB34340.1	AAC73924.1		
OG0002041	BAB34341.2	AAC73925.2		
OG0002042	BAB34343.1	AAC73927.1		
OG0002043	BAB34345.1	AAC73929.1		
OG0002044	BAB34346.2	AAC73930.1		
OG0002045	BAB34347.2	AAC73931.2		
OG0002046	BAB34348.1	AAC73932.1		
OG0002047	BAB34349.1	AAC73933.1		
OG0002048	BAB34351.1	AAC73935.1		
OG0002049	BAB34352.1	AAC73936.1		
OG0002050	BAB34353.1	AAC73937.1		
OG0002051	BAB34355.1	AAC73939.1		
OG0002052	BAB34356.1	AAC73940.1		
OG0002053	BAB34358.1	AAC73942.2		
OG0002054	BAB34359.1	AAC73943.1		
OG0002055	BAB34360.1	AAC73944.1		
OG0002056	BAB34361.1	AAC73945.1		
OG0002057	BAB34362.1	AAC73946.1		
OG0002058	BAB34366.1	AAC73947.1		
OG0002059	BAB34367.1	AAC73948.1		
OG0002060	BAB34368.1	AAC73949.1		
OG0002061	BAB34369.1	AAC73950.1		
OG0002062	BAB34370.1	AAC73951.1		
OG0002063	BAB34371.1	AAC73952.1		
OG0002064	BAB34376.1	AAC73954.1		
OG0002065	BAB34377.2	AAC73955.2		
OG0002066	BAB34384.1	AAC73962.1		
OG0002067	BAB34385.1	AAC73963.1		
OG0002068	BAB34386.1	AAC73964.1		
OG0002069	BAB34388.1	AAC73966.1		
OG0002070	BAB34390.1	AAC73968.1		
OG0002071	BAB34393.1	AAC73971.1		
OG0002072	BAB34394.1	AAC73972.1		
OG0002073	BAB34395.1	AAC73973.1		
OG0002074	BAB34397.1	AAC73975.1		
OG0002075	BAB34399.2	AAC73977.2		
OG0002076	BAB34404.1	AAC73982.1		
OG0002077	BAB34405.1	AAC73983.1		
OG0002078	BAB34406.1	AAC73984.1		
OG0002079	BAB34407.2	AAC73985.2		
OG0002080	BAB34410.1	AAC73990.1		
OG0002081	BAB34411.2	AAC73991.2		
OG0002082	BAB34412.1	AAC73992.1		
OG0002083	BAB34415.2	AAC73995.2		
OG0002084	BAB34422.1	AAC74002.1		
OG0002085	BAB34423.1	AAC74003.1		
OG0002086	BAB34425.1	AAC74005.1		
OG0002087	BAB34426.1	AAC74006.1		
OG0002088	BAB34427.1	AAC74007.1		
OG0002089	BAB34428.1	AAC74008.1		
OG0002090	BAB34429.1	AAC74009.2		
OG0002091	BAB34430.1	AAC74010.1		
OG0002092	BAB34431.1	AAC74011.1		
OG0002093	BAB34432.1	AAC74012.1		
OG0002094	BAB34434.1	AAC74014.1		
OG0002095	BAB34435.1	AAC74015.1		
OG0002096	BAB34438.1	AAC74018.1		
OG0002097	BAB34439.1	AAC74019.1		
OG0002098	BAB34440.1	AAC74020.2		
OG0002099	BAB34441.1	AAC74021.1		
OG0002100	BAB34442.1	AAC74022.2		
OG0002101	BAB34444.2	AAC74024.2		
OG0002102	BAB34445.1	AAC74025.1		
OG0002103	BAB34449.2	AAC74028.1		
OG0002104	BAB34450.1	AAC74029.2		
OG0002105	BAB34453.2	AAC74032.2		
OG0002106	BAB34454.1	AAC74033.1		
OG0002107	BAB34456.1	AAC74035.1		
OG0002108	BAB34457.1	AAC74036.1		
OG0002109	BAB34458.1	AAC74037.1		
OG0002110	BAB34459.2	AAC74038.2		
OG0002111	BAB34460.1	AAC74039.1		
OG0002112	BAB34461.2	AAC74040.1		
OG0002113	BAB34462.1	AAC74041.1		
OG0002114	BAB34463.1	AAC74042.1		
OG0002115	BAB34465.1	AAC74044.1		
OG0002116	BAB34466.1	AAC74045.1		
OG0002117	BAB34467.1	AAC74046.2		
OG0002118	BAB34469.1	AAC74048.1		
OG0002119	BAB34471.1	AAC74050.1		
OG0002120	BAB34472.1	AAC74051.2		
OG0002121	BAB34473.2	AAC74052.2		
OG0002122	BAB34475.1	AAC74054.1		
OG0002123	BAB34476.2	AAC74055.2		
OG0002124	BAB34477.1	AAC74056.1		
OG0002125	BAB34478.1, BAB36196.1			
OG0002126	BAB34487.1	AAC74645.2		
OG0002127	BAB34488.1	AAC74644.1		
OG0002128	BAB34490.1, BAB35704.1			
OG0002129	BAB34491.1, BAB35703.2			
OG0002130	BAB34508.1			QRP90528.1
OG0002131	BAB34551.1	AAC74057.1		
OG0002132	BAB34552.1	AAC74058.1		
OG0002133	BAB34553.1	AAC74059.1		
OG0002134	BAB34554.1	AAC74060.1		
OG0002135	BAB34555.1	AAC74061.1		
OG0002136	BAB34556.1	AAC74062.1		
OG0002137	BAB34559.1	AAC74065.1		
OG0002138	BAB34564.1	AAC74070.1		
OG0002139	BAB34565.1	AAC74071.1		
OG0002140	BAB34566.2	AAC74072.2		
OG0002141	BAB34570.1	AAC74077.1		
OG0002142	BAB34571.2	AAC74078.2		
OG0002143	BAB34572.1	AAC74079.1		
OG0002144	BAB34573.1	AAC74080.1		
OG0002145	BAB34575.1	AAC74082.1		
OG0002146	BAB34576.1	AAC74083.1		
OG0002147	BAB34577.1	AAC74084.1		
OG0002148	BAB34581.1	AAC74087.1		
OG0002149	BAB34582.1	AAC74088.1		
OG0002150	BAB34598.1, BAB36424.1			
OG0002151	BAB34599.2, BAB36423.1			
OG0002152	BAB34600.2, BAB36421.2			
OG0002153	BAB34601.1, BAB36420.1			
OG0002154	BAB34602.1, BAB36419.1			
OG0002155	BAB34604.1, BAB36417.1			
OG0002156	BAB34609.1, BAB36412.1			
OG0002157	BAB34615.1, BAB36407.1			
OG0002158	BAB34616.1, BBE29448.1			
OG0002159	BAB34617.1, BAB36406.2			
OG0002160	BAB34618.1, BAB36405.1			
OG0002161	BAB34619.1, BAB36404.1			
OG0002162	BAB34625.1, BAB36399.1			
OG0002163	BAB34628.1, BAB36397.1			
OG0002164	BAB34629.1, BAB36396.1			
OG0002165	BAB34640.1	AAC73658.1		
OG0002166	BAB34667.1, BAB35620.1			
OG0002167	BAB34672.1, BAB34937.1			
OG0002168	BAB34675.2	AAC74091.2		
OG0002169	BAB34677.1	AAC74093.1		
OG0002170	BAB34678.1	AAC74094.1		
OG0002171	BAB34679.1	AAC74095.1		
OG0002172	BAB34680.2	AAC74096.2		
OG0002173	BAB34681.2	AAC74097.1		
OG0002174	BAB34682.1	AAC74098.1		
OG0002175	BAB34687.1	AAC74103.1		
OG0002176	BAB34688.1	AAC74104.1		
OG0002177	BAB34689.1	AAC74105.1		
OG0002178	BAB34690.1	AAC74106.1		
OG0002179	BAB34691.1	AAC74107.1		
OG0002180	BAB34692.1	AAC74108.1		
OG0002181	BAB34693.1	AAC74109.1		
OG0002182	BAB34694.1	AAC74110.1		
OG0002183	BAB34703.1	AAC73246.1		
OG0002184	BAB34706.1, BAB34805.2			
OG0002185	BAB34710.1, BAB37751.1			
OG0002186	BAB34721.1	AAC74114.1		
OG0002187	BAB34728.1			QRP89341.1
OG0002188	BAB34759.2	AAC77233.1		
OG0002189	BAB34796.1	AAC77250.1		
OG0002190	BAB34819.1	AAT48141.1		
OG0002191	BAB34820.1, BAB36219.2			
OG0002192	BAB34821.1, BAB36220.1			
OG0002193	BAB34822.1, BAB36221.1			
OG0002194	BAB34830.1, BAB37963.1			
OG0002195	BAB34831.1, BAB37964.1			
OG0002196	BAB34832.1, BAB37965.1			
OG0002197	BAB34833.2	AAC74117.2		
OG0002198	BAB34834.1	AAC74118.1		
OG0002199	BAB34835.1	AAC74119.1		
OG0002200	BAB34836.2	AAC74120.2		
OG0002201	BAB34837.1	AAC74121.1		
OG0002202	BAB34838.1	AAC74122.1		
OG0002203	BAB34839.1	AAC74123.1		
OG0002204	BAB34840.1	AAC74124.1		
OG0002205	BAB34842.1	AAC74125.1		
OG0002206	BAB34843.1	AAC74126.1		
OG0002207	BAB34844.1	AAC74127.1		
OG0002208	BAB34845.1	AAC74128.1		
OG0002209	BAB34846.1	AAC74129.1		
OG0002210	BAB34847.1	AAC74130.2		
